suburb,timestamp,price,percentage_change
Brinkworth,2023-08-22,152300.0,0.0
Brinkworth,2023-09-19,152300.0,0.0
Brinkworth,2023-09-28,152300.0,0.0
Brinkworth,2023-10-17,152300.0,0.0
Brinkworth,2023-10-23,152300.0,0.0
Brinkworth,2023-11-11,152300.0,0.0
Brinkworth,2024-05-24,152300.0,0.0
Broadview,2023-08-22,812200.0,4.727899532134942
Broadview,2023-09-19,850600.0,4.727899532134942
Broadview,2023-09-28,850600.0,4.727899532134942
Broadview,2023-10-17,844000.0,4.727899532134942
Broadview,2023-10-23,844000.0,4.727899532134942
Broadview,2023-11-11,844000.0,4.727899532134942
Broadview,2024-05-24,934200.0,4.727899532134942
Brompton,2023-08-22,736000.0,1.154891304347826
Brompton,2023-09-19,744500.0,1.154891304347826
Brompton,2023-09-28,744500.0,1.154891304347826
Brompton,2023-10-17,739500.0,1.154891304347826
Brompton,2023-10-23,739500.0,1.154891304347826
Brompton,2023-11-11,739500.0,1.154891304347826
Brompton,2024-05-24,806200.0,1.154891304347826
Brooklyn Park,2023-08-22,748800.0,1.9898504273504272
Brooklyn Park,2023-09-19,763700.0,1.9898504273504272
Brooklyn Park,2023-09-28,763700.0,1.9898504273504272
Brooklyn Park,2023-10-17,762600.0,1.9898504273504272
Brooklyn Park,2023-10-23,762600.0,1.9898504273504272
Brooklyn Park,2023-11-11,762600.0,1.9898504273504272
Brooklyn Park,2024-05-24,834300.0,1.9898504273504272
Brownlow Ki,2023-08-22,346600.0,0.0
Brownlow Ki,2023-09-19,346600.0,0.0
Brownlow Ki,2023-09-28,346600.0,0.0
Brownlow Ki,2023-10-17,346600.0,0.0
Brownlow Ki,2023-10-23,346600.0,0.0
Brownlow Ki,2023-11-11,346600.0,0.0
Brownlow Ki,2024-05-24,346600.0,0.0
Brukunga,2023-08-22,870800.0,-5.351401010564998
Brukunga,2023-09-19,824200.0,-5.351401010564998
Brukunga,2023-09-28,824200.0,-5.351401010564998
Brukunga,2023-10-17,824200.0,-5.351401010564998
Brukunga,2023-10-23,824200.0,-5.351401010564998
Brukunga,2023-11-11,824200.0,-5.351401010564998
Brukunga,2024-05-24,662300.0,-5.351401010564998
Bugle Ranges,2023-08-22,980000.0,0.0
Bugle Ranges,2023-09-19,980000.0,0.0
Bugle Ranges,2023-09-28,980000.0,0.0
Bugle Ranges,2023-10-17,980000.0,0.0
Bugle Ranges,2023-10-23,980000.0,0.0
Bugle Ranges,2023-11-11,980000.0,0.0
Bugle Ranges,2024-05-24,980000.0,0.0
Burnside,2023-08-22,1282900.0,2.7749629745108737
Burnside,2023-09-19,1318500.0,2.7749629745108737
Burnside,2023-09-28,1318500.0,2.7749629745108737
Burnside,2023-10-17,1297800.0,2.7749629745108737
Burnside,2023-10-23,1297800.0,2.7749629745108737
Burnside,2023-11-11,1297800.0,2.7749629745108737
Burnside,2024-05-24,1474200.0,2.7749629745108737
Burra,2023-08-22,314700.0,4.702891642834445
Burra,2023-09-19,329500.0,4.702891642834445
Burra,2023-09-28,329500.0,4.702891642834445
Burra,2023-10-17,332600.0,4.702891642834445
Burra,2023-10-23,332600.0,4.702891642834445
Burra,2023-11-11,332600.0,4.702891642834445
Burra,2024-05-24,357200.0,4.702891642834445
Burton,2023-08-22,564900.0,-5.416887944768986
Burton,2023-09-19,534300.0,-5.416887944768986
Burton,2023-09-28,534300.0,-5.416887944768986
Burton,2023-10-17,541400.0,-5.416887944768986
Burton,2023-10-23,541400.0,-5.416887944768986
Burton,2023-11-11,541400.0,-5.416887944768986
Burton,2024-05-24,621000.0,-5.416887944768986
Bute,2023-08-22,282100.0,0.0
Bute,2023-09-19,282100.0,0.0
Bute,2023-09-28,282100.0,0.0
Bute,2023-10-17,282100.0,0.0
Bute,2023-10-23,282100.0,0.0
Bute,2023-11-11,282100.0,0.0
Bute,2024-05-24,282100.0,0.0
Cadell,2023-08-22,204200.0,0.0
Cadell,2023-09-19,204200.0,0.0
Cadell,2023-09-28,204200.0,0.0
Cadell,2023-10-17,204200.0,0.0
Cadell,2023-10-23,204200.0,0.0
Cadell,2023-11-11,204200.0,0.0
Cadell,2024-05-24,265100.0,0.0
Callington,2023-08-22,350900.0,17.184383015104018
Callington,2023-09-19,411200.0,17.184383015104018
Callington,2023-09-28,411200.0,17.184383015104018
Callington,2023-10-17,440600.0,17.184383015104018
Callington,2023-10-23,440600.0,17.184383015104018
Callington,2023-11-11,440600.0,17.184383015104018
Callington,2024-05-24,546400.0,17.184383015104018
Cambrai,2023-08-22,196600.0,0.0
Cambrai,2023-09-19,196600.0,0.0
Cambrai,2023-09-28,196600.0,0.0
Cambrai,2023-10-17,196600.0,0.0
Cambrai,2023-10-23,196600.0,0.0
Cambrai,2023-11-11,196600.0,0.0
Cambrai,2024-05-24,196600.0,0.0
Camden Park,2023-08-22,738600.0,-0.027078256160303276
Camden Park,2023-09-19,738400.0,-0.027078256160303276
Camden Park,2023-09-28,738400.0,-0.027078256160303276
Camden Park,2023-10-17,743400.0,-0.027078256160303276
Camden Park,2023-10-23,743400.0,-0.027078256160303276
Camden Park,2023-11-11,743400.0,-0.027078256160303276
Camden Park,2024-05-24,801900.0,-0.027078256160303276
Campbelltown,2023-08-22,757800.0,1.3591976774874637
Campbelltown,2023-09-19,768100.0,1.3591976774874637
Campbelltown,2023-09-28,768100.0,1.3591976774874637
