suburb,lower_date,upper_date,pct_change
Oakden,2023-08-22,2024-05-24,1.48895292987512
Oaklands Park,2023-08-22,2024-05-24,13.825608798114688
Ob Flat,2023-08-22,2024-05-24,48.38489535941765
Old Noarlunga,2023-08-22,2024-05-24,21.03066302777332
Old Reynella,2023-08-22,2024-05-24,11.906354515050168
One Tree Hill,2023-08-22,2024-05-24,3.902185223725286
Onkaparinga Hills,2023-08-22,2024-05-24,14.995436171599948
Orroroo,2023-08-22,2024-05-24,3.5398230088495577
Osborne,2023-08-22,2024-05-24,12.933333333333334
Ottoway,2023-08-22,2024-05-24,16.52094717668488
Ovingham,2023-08-22,2024-05-24,14.505655634687892
Owen,2023-08-22,2024-05-24,44.970873786407765
Padthaway,2023-08-22,2024-05-24,0.0
Palmer,2023-08-22,2024-05-24,0.0
Panorama,2023-08-22,2024-05-24,15.820290507825696
Para Hills,2023-08-22,2024-05-24,14.280483339436104
Para Hills West,2023-08-22,2024-05-24,15.468497576736674
Para Vista,2023-08-22,2024-05-24,8.228891820580476
Paracombe,2023-08-22,2024-05-24,0.0
Paradise,2023-08-22,2024-05-24,16.629895201323773
Parafield Gardens,2023-08-22,2024-05-24,10.935536002873047
Paralowie,2023-08-22,2024-05-24,13.354219698453104
Parham,2023-08-22,2024-05-24,0.0
Paringa,2023-08-22,2024-05-24,52.15637604716103
Park Holme,2023-08-22,2024-05-24,10.714285714285714
Parkside,2023-08-22,2024-05-24,1.9466220382277812
Parndana,2023-08-22,2024-05-24,0.0
Pasadena,2023-08-22,2024-05-24,7.463884430176565
Paskeville,2023-08-22,2024-05-24,0.0
Payneham,2023-08-22,2024-05-24,25.88220978340229
Payneham South,2023-08-22,2024-05-24,41.29099548035693
Pelican Point,2023-08-22,2024-05-24,0.0
Penfield,2023-08-22,2024-05-24,0.0
Penfield Gardens,2023-08-22,2024-05-24,0.0
Penneshaw,2023-08-22,2024-05-24,1.8181818181818181
Pennington,2023-08-22,2024-05-24,-3.5870158210583742
Penola,2023-08-22,2024-05-24,1.249674563915647
Penrice,2023-08-22,2024-05-24,29.391304347826086
Peterborough,2023-08-22,2024-05-24,-3.9835969537199762
Peterhead,2023-08-22,2024-05-24,9.463931171409662
Piccadilly,2023-08-22,2024-05-24,50.95215977705527
