suburb,price,timestamp,pct_change
Carrickalinga,636800.0,2023-10-17,0.0000
Carrickalinga,636800.0,2023-10-23,0.0000
Carrickalinga,636800.0,2023-11-11,0.0000
Carrickalinga,877600.0,2024-05-24,37.8141
Ceduna,293300.0,2023-08-22,nan
Ceduna,282700.0,2023-09-19,-3.6140
Ceduna,282700.0,2023-09-28,0.0000
Ceduna,282700.0,2023-10-17,0.0000
Ceduna,282700.0,2023-10-23,0.0000
Ceduna,282700.0,2023-11-11,0.0000
Ceduna,281700.0,2024-05-24,-0.3537
Ceduna Waters,265000.0,2023-08-22,nan
Ceduna Waters,265000.0,2023-09-19,0.0000
Ceduna Waters,265000.0,2023-09-28,0.0000
Ceduna Waters,265000.0,2023-10-17,0.0000
Ceduna Waters,265000.0,2023-10-23,0.0000
Ceduna Waters,265000.0,2023-11-11,0.0000
Ceduna Waters,265000.0,2024-05-24,0.0000
Chandlers Hill,748700.0,2023-08-22,nan
Chandlers Hill,901800.0,2023-09-19,20.4488
